header,class,mechanism,group
AGly|AadA1|M95287|3320-4111|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Flq|NC_007793.3912939|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
AGly|Aac6-I30|AY289608|1524-2078|555|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
AGly|Sat4A|X92945|38870-39412|543|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT,Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT
gi|591389147|gb|KF986256.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|164449661|gb|EU342351.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|23953862|gb|AY143430.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Mdr|U46859.1|gene22|Fosmidomycin|Multi-drug_resistance|Multi-drug_efflux_pumps|ROSB,Multi-drug resistance,Multi-drug efflux pumps,ROSB
Bla|TEM-127|AY368236|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Gly|VanHA-Bc|Y15704|23-1054|1032|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA
gi|24415594|gb|AY144612.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Phe|X60827.1|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
Tmt|Dfr16|AF077008|115-558|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR
Bla|OXY1-3|AY077482|162-1037|876|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
ENA|merA|BAA20337|BAA20337.2Pseudomonassp.K-62mercuricreductase,Mercury resistance,mercuric resistance protein,merA
ENA|nikR|BAA04676|BAA04676.1Escherichiacolipartialhypotheticalprotein:Location:1..121,Nickel resistance,nickel ABC efflux regulator,nikR
gi|42406212|gb|AY524987.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Bla|SHV-2a|X98102|72-934|863|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|NC_010400.5984045|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
Bla|CMY-16_2_FJ855437|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|CTX-M-114|GQ351346|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|QnrVC3_1_HM015626|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,Fluoroquinolones,Quinolone resistance protein Qnr,QNRVC
Bla|FONA-2|AJ251240|1054-1941|888|betalactams|Class_A_betalactamases|FONA,betalactams,Class A betalactamases,FONA
Bla|AY248038.1|gene4|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
CARD|phgb|JF802084|5019-6114|ARO:3002940|vanSN|Glycopeptides|VanN-type_regulator|VANSN,Glycopeptides,VanN-type regulator,VANSN
gi|751813259|gb|KM979378.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|AB302939|8-869|ARO:3001115|SHV-60|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|84380854|gb|DQ328802.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
ENA|phoB|BAH62844|BAH62844.1Klebsiellapneumoniaesubsp.pneumoniaeNTUH-K2044responseregulatorintwo-componentregulatorysystemwithPhoQ:Location:1..714,Biocide resistance,biocide resistance regulator,phoB
Phe|M58515.1|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
Bla|TEM-148|AM087454|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
948|DQ464881.1|DQ464881|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
gi|147886440|gb|EF581285.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|406507780|gb|JX310327.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Mdr|AP009048.1|gene3415|Multi-drug_resistance|MDR_regulator|CPXAR,Multi-drug resistance,MDR regulator,CPXAR
gi|21464495|gb|AY101764.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|TEM-8|X65252|176-1036|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Sul|sul2_9_FJ197818|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
Bla|IMP-1|HM036079|114-854|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
gi|6176541|gb|AF190692.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|41816|emb|X57972.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|160948442|emb|AM176551.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|phgb|AJ437107|208-1069|ARO:3000900|TEM-30|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|NC_003197.1.1252517|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,Multi-drug resistance,MDR mutant porin proteins,OMPF
AGly|AadA24|HQ123586|88-768|781|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
CARD|pvgb|NC_002516|4767810-4769004|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB
736|JX560992.1|JX560992|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Tmt|DfrA5|X12868|1306-1779|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR
1191|AJ243491.1|AJ243491|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|OXA-93|DQ519087|39-863|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
859|U41471.1|MFU41471|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
ENA|phoR|BAH62843|BAH62843.1Klebsiellapneumoniaesubsp.pneumoniaeNTUH-K2044sensorkinaseintwo-componentregulatorysystemwithPhoP,Biocide resistance,biocide resistance regulator,phoR
CARD|phgb|X53650|320-1235|ARO:3003565|r39|betalactams|Class_D_betalactamases|R39,betalactams,Class D betalactamases,R39
1538|unknown_id|unknown_name|Phenicol|Phenicol_efflux_pumps|FLOR,Phenicol,Phenicol efflux pumps,FLOR
AGly|Aac6-IIb|L06163|532-1074|543|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
CARD|phgb|L20573|297-1218|ARO:3002987|bcrA|Bacitracin|Bacitracin_ABC_transporter|BCRA,Bacitracin,Bacitracin ABC transporter,BCRA
582|AY655721.2|AY655721|Glycopeptides|VanB-type_regulator|VANSB,Glycopeptides,VanB-type regulator,VANSB
962|AY661734.1|AY661734|Multi-drug_resistance|Multi-drug_efflux_pumps|MEPB,Multi-drug resistance,Multi-drug efflux pumps,MEPB
CARD|phgb|AL123456|3626662-3627349|ARO:3000816|mtrA|Multi-drug_resistance|MDR_regulator|MTRA,Multi-drug resistance,MDR regulator,MTRA
CARD|pvgb|AE009949|878481-879282|ARO:3003387|Streptococcus|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|CTX-M-54|DQ303459|2175-3050|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|SHV-1_1_DQ166783|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|KPC-13|HQ342890|1-882|882|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
CARD|phgb|U00096|2154015-2155263|ARO:3000792|mdtA|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTA,Multi-drug resistance,Multi-drug efflux pumps,MDTA
Bla|OXA-134|FJ195387|695-1516|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|CTX-M-31|AJ567482|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|VEB-1_1_HM370393|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB
CARD|phgb|EF540343|1059-1440|ARO:3000160|blaI|betalactams|Penicillin_binding_protein_regulator|BLAI,betalactams,Penicillin binding protein regulator,BLAI
Bla|LEN-18|AM850908|1-861|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Bla|VIM-37|JX982636|1-801|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|698174207|gb|KM087858.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
gi|157285906|gb|EF650036.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Mdr|CP000768.1|gene156|Multi-drug_resistance|Multi-drug_efflux_pumps|cme,Multi-drug resistance,Multi-drug efflux pumps,cme
Bla|OXA-210|JF795487|1-828|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
627|X03364.1|X03364|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
CARD|phgb|DQ212986|5984-7034|ARO:3002909|vanG|Glycopeptides|VanG-type_resistance_protein|VANG,Glycopeptides,VanG-type resistance protein,VANG
Flq|NC_008702.1.4606680|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
CARD|phgb|KF443075|0-645|ARO:3002785|QnrB73|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|ACT-1|U58495|28-1173|1146|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
Gly|VanS-C_1_AF162694|Glycopeptides|VanC-type_regulator|VANSC,Glycopeptides,VanC-type regulator,VANSC
CARD|pvgb|AL123456|2101650-2103042|ARO:3003461|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_ndh|NDH|RequiresSNPConfirmation,Mycobacterium tuberculosis-specific Drug,Isoniazid-resistant ndh,NDH
ENA|czcR|CAI11246|CAI11246.2CupriavidusmetalliduransCH34responseregulator:Location:1..678,Metal resistance,metal RND efflux regulator,czcR
Gly|VanR-D|AB242319|1-699|699|Glycopeptides|VanD-type_regulator|VANRD,Glycopeptides,VanD-type regulator,VANRD
Bla|IND-15|AB563173|33-764|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
Bla|RAHN-2|HM114350|377-1264|888|betalactams|Class_A_betalactamases|RAHN,betalactams,Class A betalactamases,RAHN
gi|803434319|dbj|LC037981.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|NC_002516|5151077-5154209|ARO:3000801|mexD|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXD,Multi-drug resistance,Multi-drug efflux pumps,MEXD
AGly|AJ487033.2|gene1|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
419|U51479.1|EGU51479|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME
Bla|CMY-83|JX440351|1027-2172|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
ENA|mdtC|ACY89071|ACY89071.1Salmonellaentericasubsp.entericaserovarTyphimuriumstr.14028SmultidrugeffluxsystemsubunitMdtC,Drug metal and biocide resistance,drug metal and biocide RND efflux pump,mdtC
Tet|TetW|AJ222769|3687-5606|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
Bla|OKP-B-17|AM850919|25-885|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
ENA|evgS|AAG57495|AAG57495.2EscherichiacoliO157:H7str.EDL933putativesensorforregulatorEvgA,Drug and biocide resistance,drug and biocide efflux regulator,evgS
ENA|fecD|AAA23764|AAA23764.1Escherichiacolihypotheticalprotein,Metal resistance,metal efflux protein,fecD
gi|338815130|gb|HQ845196.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
1251|EU571228.1|EU571228|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
MLS|msrD_3_AF227520|MLS|Macrolide_resistance_efflux_pumps|MSRD,MLS,Macrolide resistance efflux pumps,MSRD
Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|OXY6-2|AJ871875|1-873|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
gi|591389161|gb|KF986263.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
MLS|LsaA|AY225127|41-1537|1497|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA,MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,LSA
Bla|SHV-145|JX013655|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Rif|NC_002516.2.881699|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
ENA|merR|CAA77320|CAA77320.1PseudomonasaeruginosamerRprotein(repressor/inducer):Location:1..435,Mercury resistance,mercuric resistance regulator,merR
Bla|cfxA5|AY769934|28-993|966|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX
MLS|L22689.1|gene1|MLS|23S_rRNA_methyltransferases|ERMQ,MLS,23S rRNA methyltransferases,ERMQ
gi|2739291|emb|Y10282.1|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX
Bla|CMY-19|AB194410|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
ACou|NC_002745.1124025|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
gi|15721850|gb|AY037778.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Sul|sul2_1_AF542061|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
gi|10443723|gb|AF226622.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Sul|sul2_18_AJ830714|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
440|EU408347.1|EU408347|Multi-drug_resistance|Multi-drug_efflux_pumps|HLYD,Multi-drug resistance,Multi-drug efflux pumps,HLYD
Fos|fosB_3_HQ219726|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Fosfomycin,Fosfomycin thiol transferases,FOSB
AGly|Aac6-Iu|AF031329|1-441|441|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
AGly|AY123251|gene5|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
266|AY768531.1|AY768531|Multi-drug_resistance|Multi-drug_efflux_pumps|MACA,Multi-drug resistance,Multi-drug efflux pumps,MACA
Tet|OtrB|AF079900|40-1733|1692|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|OTRB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,OTRB
gi|18652315|gb|AF468003.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|698174199|gb|KM087854.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
AGly|Aph3-dprime-Ic|DQ336355|603-1367|816|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
Flq|AE000516.2|gene6|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|OKP-A-14|FJ534512|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
Bla|OXA-251|JN118546|1762-2562|801|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|302357573|dbj|AB563173.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
gi|2648042|emb|X97254.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|8052260|emb|AJ239002.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|pvgb|NC_003197|4503969-4504293|ARO:3003383|Salmonella|Multi-drug_resistance|MDR_regulator|SOXS|RequiresSNPConfirmation,Multi-drug resistance,MDR regulator,SOXS
Bla|VEB-5|EF420108|38-937|900|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB
gi|408535170|dbj|AB753458.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
CARD|phgb|EU408352|35394-37224|ARO:3002484|LRA-13|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
Fos|Fcyn|FosB|AHLO01000073|63139-63558|417|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Fosfomycin,Fosfomycin thiol transferases,FOSB
Tet|tetQ_3_U73497|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ
8|AF173226.1|AF173226|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,Multi-drug resistance,Multi-drug efflux pumps,sme
Flq|NC_007793.3913356|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
ENA|emmdR|ADF62863|ADF62863.1Enterobactercloacaesubsp.cloacaeATCC13047MATEeffluxfamilyprotein,Biocide resistance,biocide MATE efflux pump,emmdR
CARD|phgb|U00096|2484373-2487967|ARO:3000833|evgS|Multi-drug_resistance|MDR_regulator|EVGS,Multi-drug resistance,MDR regulator,EVGS
Bla|CTX-M-61_1_EF219142|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Fos|FN543093.2|gene2318|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
gi|607346569|gb|KJ155695.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
CARD|phgb|EU408350|11679-12585|ARO:3002488|LRA-9|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
Bla|TEM-96|AY092401|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|ACT-15|JX440356|755-1900|1146|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
gi|171705295|gb|EU419746.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Bla|FOX-6|AY034848|52-1200|1149|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX
gi|221149271|gb|EU418913.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|NC_002516.2.879741|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
AGly|Str|X92946|18908-18060|849|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
gi|620597417|gb|KJ461948.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|591389151|gb|KF986258.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|SHV-11_4_EF035558|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Phe|AF252855.1|gene1|Phenicol|Phenicol_efflux_pumps|FLOR,Phenicol,Phenicol efflux pumps,FLOR
gi|315227434|gb|HQ322612.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
Bla|OXA-82|GQ352402|8775-9599|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|IND-14|HM367709|8-728|728|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
Bla|VIM-26|FR748153|260-1060|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Bla|IND2a|AF219130|1-732|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
Mdr|NC_002695.1.914983|Multi-drug_resistance|MDR_regulator|CPXAR,Multi-drug resistance,MDR regulator,CPXAR
Bla|CTX-M-129|JX017364|239-1114|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|CARB-6_1_AF030945|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
gi|698174211|gb|KM087860.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
CARD|pvgb|AE000516|783533-783908|ARO:3003395|Mycobacterium|Aminoglycosides|Aminoglycoside-resistant_30S_ribosomal_subunit_protein_S12|RPSL|RequiresSNPConfirmation,Aminoglycosides,Aminoglycoside-resistant 30S ribosomal subunit protein S12,RPSL
